,name,grade_v,setter,total_attempts,total_days,last_tried,first_tried,last_tried_days,span_days
100,GRIFETE HANDS,5.0,edu moya,15,7,2023-12-02,2022-09-29,17 days,429 days
71,EASY DOES IT,4.0,Reuben Mardan,15,5,2023-10-17,2023-02-11,63 days,248 days
135,MOONING,5.0,levi jackson,14,5,2023-11-09,2023-03-05,40 days,249 days
101,HARD TIMES,6.0,Ben Moon,13,4,2022-12-29,2022-11-24,355 days,35 days
75,ENTER SANDBAG,5.5,Christian Thorjussen,8,4,2023-02-28,2023-01-31,294 days,28 days
128,MAFFEI,5.0,Riccardo Caprasecca,7,3,2023-12-05,2023-11-30,14 days,5 days
102,HATHA YOGA,4.0,janezkranjski,6,3,2023-10-07,2022-11-29,73 days,312 days
127,LOW CARB VAR,5.0,Ben Moon,7,2,2023-11-28,2023-11-16,21 days,12 days
59,DANIELSAN,5.5,Jack Folkes,6,2,2023-07-18,2023-06-20,154 days,28 days
98,GRAB THE D,5.0,Martin Heald,6,2,2023-06-15,2023-06-13,187 days,2 days
117,KEMAL'S VAR,6.0,Garry Williams,6,2,2023-06-17,2023-05-30,185 days,18 days
109,HORSESHOE,5.0,Ravioli Biceps,5,2,2023-06-13,2023-04-04,189 days,70 days
207,UH-HUH WRONG,4.0,danhult,5,2,2023-06-01,2023-05-09,201 days,23 days
215,WAITING FOR HARDTIMES,5.0,James Lucas,5,2,2023-12-02,2023-11-26,17 days,6 days
60,DES GROS CUTLOOSE PAS RAP,5.0,Jean-claude Savard,4,2,2023-12-12,2023-12-07,7 days,5 days
162,REMO,4.0,Riccardo Caprasecca,4,2,2023-05-27,2023-02-02,206 days,114 days
9,A LITTLE CROSSING,5.5,christian luus,5,1,2022-12-29,2022-12-29,355 days,0 days
226,WRECKONIZE,5.0,Pawel Paraskiewas,4,1,2023-04-06,2023-04-06,257 days,0 days
3,1817,5.0,Randall Baum,3,1,2023-06-13,2023-06-13,189 days,0 days
28,B.O.B.,6.0,Randall Baum,3,1,2023-12-07,2023-12-07,12 days,0 days
29,B.O.B. 2,5.0,Randall Baum,3,1,2023-03-16,2023-03-16,278 days,0 days
81,FEET CUTTING VAR,6.0,Bobby Shih,3,1,2023-12-12,2023-12-12,7 days,0 days
87,FLOAT LIKE A BUTTERFLY,5.0,Kyle Knapp,3,1,2023-11-14,2023-11-14,35 days,0 days
120,L'HO DURO DURO,7.0,Max Car,3,1,2023-03-07,2023-03-07,287 days,0 days
142,ONE SUMMER EASY,5.5,Ben Moon,3,1,2023-07-18,2023-07-18,154 days,0 days
189,SURESHOT,5.0,Danny Hupp,3,1,2023-11-26,2023-11-26,23 days,0 days
203,TOODLE,4.0,RAMRAM,3,1,2023-06-15,2023-06-15,187 days,0 days
206,UH-HUH,6.0,Alex Arroyo,3,1,2023-12-07,2023-12-07,12 days,0 days
26,ATTILALALA,5.0,Simon Sjöstrand,2,1,2023-11-09,2023-11-09,40 days,0 days
31,BACK TO BASICS,4.0,Kyle Knapp,2,1,2023-01-31,2023-01-31,322 days,0 days
43,BURNING SENDERS,4.0,alvaro rangel,2,1,2023-11-16,2023-11-16,33 days,0 days
68,DSTYLE NEW,4.0,Dworkin,2,1,2023-01-28,2023-01-28,325 days,0 days
137,MOVING OUT,4.0,Kyle Knapp,2,1,2023-01-31,2023-01-31,322 days,0 days
