,name,grade_v,setter,total_attempts,total_days,last_tried,first_tried,first_ticked,attempts_to_send,days_to_send,num_repeats
23,ASTRO CREEP,4.0,Jonny Summers,46,7,2023-11-21,2022-11-17,2023-11-21,46,7,1
153,POGO,6.0,luke hutcheson,16,4,2023-07-13,2023-03-23,2023-06-17,14,4,2
113,IMPROVVISAZIONE,6.0,Jean-Pierre Bovo,13,3,2022-12-08,2022-11-17,2022-12-08,13,3,1
140,NORTHSIDE,6.0,Matt Mcnair,13,4,2023-02-21,2022-12-08,2023-02-21,13,4,1
175,SHAKEDOWN STREET,5.5,Matt Poiesz,13,4,2022-11-15,2022-10-26,2022-11-15,13,4,1
134,MOON CASTLE,5.0,Ben Moon,12,5,2023-02-26,2022-09-10,2023-02-26,12,5,1
213,VIVA,4.0,Hakan Ertekin,12,3,2023-01-19,2022-12-15,2023-01-19,12,4,1
161,RAINY DAY,4.0,Chris Tibbals,12,3,2023-02-26,2023-02-16,2023-02-26,12,4,2
146,OVN,5.0,Jørgen Bryn Henriksen,10,5,2022-11-15,2022-10-01,2022-11-15,10,5,1
177,SISÚ,5.0,edu moya,10,4,2023-05-06,2023-03-02,2023-05-06,10,4,1
